video,christian_mean_iou,method_mean_iou,mean_delta_iou,n_frames,method
before-video-010,0.361641728858258,0.31522576881685854,-0.046415960041399466,11,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-011,0.3284757505816951,0.41786327915785115,0.08938752857615608,14,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-012,0.32948153532278435,0.34555278780799914,0.016071252485214807,72,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-013,0.3853891417238897,0.2720729050490749,-0.11331623667481483,9,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-000,0.3794809288242044,0.27761470836173646,-0.10186622046246793,66,continued_baseline_corrected_crop
before-video-001,0.2519872494594668,0.29112131237577493,0.03913406291630812,11,continued_baseline_corrected_crop
before-video-002,0.2820122457959932,0.3037705290481253,0.02175828325213207,49,continued_baseline_corrected_crop
before-video-003,0.3322926377146983,0.34266302155769185,0.010370383842993526,46,continued_baseline_corrected_crop
before-video-004,0.3922930137962685,0.2513261787757634,-0.14096683502050508,10,continued_baseline_corrected_crop
before-video-005,0.349849799883027,0.3262994982124406,-0.023550301670586415,55,continued_baseline_corrected_crop
before-video-006,0.3695320690992881,0.3383747639550102,-0.031157305144277895,38,continued_baseline_corrected_crop
before-video-007,0.38623108288556074,0.45424430310019764,0.06801322021463692,10,continued_baseline_corrected_crop
before-video-008,0.32623887984656946,0.30975317642955885,-0.016485703417010614,91,continued_baseline_corrected_crop
before-video-009,0.2938306545962098,0.393295337124913,0.09946468252870325,14,continued_baseline_corrected_crop
before-video-010,0.361641728858258,0.305442766662603,-0.05619896219565504,11,continued_baseline_corrected_crop
before-video-011,0.3284757505816951,0.4161392978667683,0.08766354728507321,14,continued_baseline_corrected_crop
before-video-012,0.32948153532278435,0.3396967968904253,0.01021526156764098,72,continued_baseline_corrected_crop
before-video-013,0.3853891417238897,0.27277085809938856,-0.11261828362450117,9,continued_baseline_corrected_crop
